,positions
25295,rnb1kbnr/pp2pppp/1qp5/3p2B1/3P4/4P3/PPP2PPP/1N1QKBNR w KQkq - 1 4
25296,r1bqkbnr/ppp2ppp/2np4/4p3/2B1P3/5N2/PPPP1PPP/1NBQK2R w KQkq - 0 4
25297,rnbqkb1r/pp1ppp1p/2p2np1/8/2P5/1P3N2/P2PPPPP/1NBQKB1R w KQkq - 0 4
25298,r1bqkb1r/pppp1ppp/2n1pn2/8/4P3/2N2N2/PPPP1PPP/R1BQKB2 w KQkq - 4 4
25299,rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/5N2/PP2PPPP/RNBQKB2 w KQkq - 0 4
25300,rnbqkbnr/1pp1pp1p/p2p2p1/8/3PP3/2N5/PPP2PPP/R1BQKBN1 w KQkq - 0 4
25301,rnbqkb1r/ppp1pp1p/3p1np1/8/4P3/2N2N2/PPPP1PPP/R1BQKB2 w KQkq - 0 4
25302,rnbqk2r/ppppppbp/5np1/8/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 2 4
25303,rn1qkbnr/ppp2ppp/3p4/4p3/2P3b1/2N3P1/PP1PPP1P/2BQKBNR w KQkq - 2 4
25304,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2N5/PPP2PPP/R1BQKBN1 w KQkq - 2 4
25305,rnb1kbnr/pp1ppp1p/6p1/q1p5/4P3/2P2N2/PP1P1PPP/RNBQKB2 w KQkq - 1 4
25306,rnbqkb1r/pp1ppp1p/2p2np1/8/2B1P3/2N5/PPPP1PPP/2BQK1NR w KQkq - 2 4
25307,r1bqkbnr/pppn1ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB2 w KQkq - 2 4
25308,rnbqkb1r/p2ppppp/1p3n2/2p5/8/5NP1/PPPPPPBP/1NBQK2R w KQkq - 0 4
25309,rnbqkb1r/p2ppppp/5n2/1ppP4/8/5N2/PPP1PPPP/RNBQKB2 w KQkq - 0 4
25310,rn1qkbnr/p1pp1ppp/bp2p3/8/3PP3/8/PPP1QPPP/RNB1KBN1 w KQkq - 1 4
25311,rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 0 4
25312,rn1qkbnr/ppp2ppp/3p4/4p3/2P3b1/2N2N2/PP1PPPPP/R1BQKB2 w KQkq - 2 4
25313,rnbqkb1r/pp1pnppp/2p1p3/8/2P1P3/2N5/PP1P1PPP/R1BQKBN1 w KQkq - 2 4
25314,rnbqkb1r/p1pp1ppp/1p2pn2/6B1/3P4/5N2/PPP1PPPP/RN1QKB2 w KQkq - 0 4
25315,rnbqkbnr/pp3ppp/2p1p3/3p4/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 0 4
25316,rn1qkbnr/pp2pppp/2p5/3pPb2/8/5N2/PPPP1PPP/1NBQKB1R w KQkq - 1 4
25317,r1bqk1nr/ppppbppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/1NBQK2R w KQkq - 4 4
25318,r1bqkb1r/pppp1ppp/2n1pn2/8/2PP4/5N2/PP2PPPP/RNBQKB2 w KQkq - 2 4
25319,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 2 4
25320,rnbqkb1r/pp1pp1pp/5n2/2p2p2/2PP4/6P1/PP2PP1P/RNBQKBN1 w KQkq - 0 4
25321,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/1NBQK2R w KQkq - 2 4
25322,rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 0 4
25323,rnbqkb1r/pp1ppp1p/5np1/2p5/8/5NP1/PPPPPPBP/1NBQK2R w KQkq - 0 4
25324,r1bqkb1r/pppp1ppp/2n1pn2/8/8/1P3N2/PBPPPPPP/1N1QKB1R w KQkq - 0 4
25325,rnbqkb1r/pp1ppp1p/5np1/2p5/3P4/6P1/PPP1PPBP/1NBQK1NR w KQkq - 0 4
25326,rnbqkb1r/ppppp2p/5np1/5p2/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 0 4
25327,rnbqk1nr/1ppp1ppp/8/p3p3/1bP5/1QN5/PP1PPPPP/2B1KBNR w KQkq - 0 4
25328,rnbqk1nr/ppp2ppp/3p4/2b1p3/4PP2/5N2/PPPP2PP/1NBQKB1R w KQkq - 0 4
25329,r1bqkbnr/pp2pppp/2n5/2pp4/2P5/4PN2/PP1P1PPP/1NBQKB1R w KQkq - 0 4
25330,rnbqkb1r/ppp1pp1p/3p1np1/8/1PP5/5N2/P2PPPPP/1NBQKB1R w KQkq - 0 4
25331,rnbqkb1r/pp1ppp1p/5np1/2p5/8/1P2PN2/P1PP1PPP/1NBQKB1R w KQkq - 0 4
25332,rnbqkbnr/1p1p1ppp/p3p3/2p5/4P3/2P2N2/PP1P1PPP/1NBQKB1R w KQkq - 0 4
25333,rnbqkb1r/pp2pppp/2pp1n2/8/2PP1B2/8/PP2PPPP/1N1QKBNR w KQkq - 0 4
25334,rnbqk1nr/pp1p1ppp/4p3/2p5/1bPP4/8/PP1BPPPP/1N1QKBNR w KQkq - 0 4
25335,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 2 4
25336,rnbqkb1r/pp2pppp/3p1n2/2p5/2P5/1P3N2/P2PPPPP/1NBQKB1R w KQkq - 0 4
25337,r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/2P2N2/PP1P1PPP/1NBQKB1R w KQkq - 2 4
25338,rnbqkb1r/ppppp2p/5np1/5p2/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 0 4
25339,rnbqk2r/pppp1ppp/5n2/2b1p3/2P5/3P2P1/PP2PP1P/1NBQKBNR w KQkq - 1 4
25340,rnbqkb1r/pppp1pp1/4pn1p/6B1/3P4/5N2/PPP1PPPP/1N1QKB1R w KQkq - 0 4
25341,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 0 4
25342,rnbqkb1r/ppp1pp1p/5np1/3p2B1/3P4/4P3/PPP2PPP/1N1QKBNR w KQkq - 0 4
25343,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/4PN2/PP1P1PPP/1NBQKB1R w KQkq - 0 4
25344,rnbqkbnr/pp3ppp/2p5/3pp3/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 0 4
25345,rn1qkb1r/ppp1pppp/3p1n2/5b2/3P4/2N2N2/PPP1PPPP/2BQKB1R w KQkq - 3 4
25346,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N3P1/PP1PPP1P/2BQKBNR w KQkq - 3 4
25347,r1bqkbnr/ppp1p1pp/2n2p2/3p4/3P4/5NP1/PPP1PP1P/1NBQKB1R w KQkq - 0 4
25348,r1bqkbnr/ppp1pp1p/2np2p1/8/2PP4/5N2/PP2PPPP/RNBQKB2 w KQkq - 0 4
25349,rnbqkb1r/ppppp2p/5np1/5p2/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 0 4
25350,rnbqkb1r/p2ppppp/2p2n2/1p6/2PP4/5N2/PP2PPPP/RNBQKB2 w KQkq - 0 4
25351,r1bqkbnr/pppp1pp1/2n5/4p2p/4P3/2N3P1/PPPP1P1P/2BQKBNR w KQkq - 0 4
25352,rnbqkb1r/pppp2pp/4pn2/5p2/8/1P3N2/PBPPPPPP/1N1QKB1R w KQkq - 0 4
25353,rnbqkb1r/pp2pppp/2pp1n2/8/4P3/2N3P1/PPPP1P1P/2BQKBNR w KQkq - 0 4
25354,rn1qkbnr/pb1ppppp/1p6/2p5/4P3/6P1/PPPP1PBP/1NBQK1NR w KQkq - 2 4
25355,rn1qkb1r/ppp1pppp/3p1n2/5b2/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 2 4
25356,rnbqkb1r/pppp2pp/4pn2/5p2/8/5NP1/PPPPPPBP/1NBQK2R w KQkq - 0 4
25357,rnbqk2r/ppppppbp/5np1/8/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 1 4
25358,rnbqkbnr/ppp3pp/3p4/4pp2/2PP4/2N5/PP2PPPP/R1BQKBN1 w KQkq - 0 4
25359,rnbqkb1r/pp1p1ppp/4pn2/2p5/4P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 0 4
25360,r1bqkbnr/pp1ppp1p/2n3p1/1Bp5/4P3/2N5/PPPP1PPP/2BQK1NR w KQkq - 0 4
25361,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP2PPPP/RNBQKBN1 w KQkq - 0 4
25362,r1bqkbnr/pp2pppp/2np4/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB2 w KQkq - 2 4
25363,rnbqkbnr/ppp3pp/3p4/4pp2/2P5/2N3P1/PP1PPP1P/2BQKBNR w KQkq - 0 4
25364,rnbqkb1r/ppp2ppp/3ppn2/8/3PP3/5N2/PPP2PPP/RNBQKB2 w KQkq - 2 4
25365,rnbqkbnr/p3pppp/2p5/1p1p4/4PP2/2N5/PPPP2PP/2BQKBNR w KQkq - 0 4
25366,rnbqkb1r/p1pppp1p/1p3np1/8/2P5/1P3N2/P2PPPPP/1NBQKB1R w KQkq - 0 4
25367,rnbqkb1r/pppppppp/1n6/4P3/2P5/8/PP1P1PPP/RNBQKBN1 w KQkq - 1 4
25368,r1bqkbnr/ppppnppp/8/3Pp3/2P5/8/PP2PPPP/1NBQKBNR w KQkq - 1 4
25369,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 2 4
25370,rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 0 4
25371,rnbqk1nr/pp1p1ppp/4p3/2p5/1bPP4/8/PP1BPPPP/RN1QKBN1 w KQkq - 0 4
25372,rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/4P3/PP3PPP/RNBQKBN1 w KQkq - 0 4
25373,rnbqk1nr/pp1pppbp/6p1/2p5/3PPP2/8/PPP3PP/1NBQKBNR w KQkq - 1 4
25374,rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/5P2/PPP3PP/RNBQKBN1 w KQkq - 0 4
25375,r1bqkbnr/pppp2pp/2n5/4pp2/2P5/6P1/PP1PPPBP/RNBQK1N1 w KQkq - 2 4
25376,rnbqk2r/ppppppbp/5np1/8/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 1 4
25377,rnbqkb1r/p1pp1ppp/1p2pn2/8/2P5/5N2/PPQPPPPP/1NB1KB1R w KQkq - 0 4
25378,rnbqk2r/ppppppbp/5np1/8/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 3 4
25379,rn1qkb1r/ppp1pppp/3p1n2/5b2/3P4/2N2N2/PPP1PPPP/R1BQKB2 w KQkq - 4 4
25380,rn1qkbnr/pp2pppp/2p5/3p4/4P1b1/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 1 4
25381,rnbqkbnr/pp2pp1p/3p2p1/2p5/4P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 0 4
25382,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2P2N2/PP1P1PPP/1NBQKB1R w KQkq - 1 4
25383,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/3P4/PPP2PPP/1NBQK1NR w KQkq - 1 4
25384,rnbqkb1r/ppp1pp1p/3p1np1/8/3PPP2/8/PPP3PP/RNBQKBN1 w KQkq - 1 4
25385,rnbqkb1r/pp1p1ppp/5n2/2p1p3/2P5/1P4P1/P2PPP1P/1NBQKBNR w KQkq - 1 4
25386,r1bqkbnr/ppp2ppp/2n1p3/3p4/3P4/5NP1/PPP1PP1P/1NBQKB1R w KQkq - 0 4
25387,rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PP2PPPP/2BQKBNR w KQkq - 2 4
25388,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N5/PPP2PPP/2BQKBNR w KQkq - 2 4
25389,rnbqkb1r/pp1p1ppp/4pn2/2p5/2P5/2N3P1/PP1PPP1P/2BQKBNR w KQkq - 0 4
25390,rnbqkb1r/ppp1pp1p/5np1/3pP3/2B5/8/PPPP1PPP/RNBQK1N1 w KQkq d6 0 4
25391,r1bqk1nr/pppp1ppp/2n1p3/8/1b2P3/2N3P1/PPPP1P1P/2BQKBNR w KQkq - 1 4
25392,rnbqk1nr/ppp1ppbp/3p2p1/8/3PPP2/8/PPP3PP/RNBQKBN1 w KQkq - 0 4
25393,rnbqkb1r/pp1p1ppp/4pn2/2p5/3P4/5N2/PPPNPPPP/2BQKB1R w KQkq - 0 4
25394,r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/5N2/PPP2PPP/1NBQKB1R w KQkq - 3 4
25395,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2N5/PPP2PPP/R1BQKBN1 w KQkq - 0 4
25396,rnbqk1nr/ppp1bppp/4p3/3p4/4P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 2 4
25397,rnb1kbnr/pp2pppp/1qp5/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB2 w KQkq - 2 4
25398,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/6P1/PP2PP1P/RNBQKBN1 w KQkq - 0 4
25399,rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBN1 w KQkq - 0 4
25400,rnbqk2r/ppppppbp/5np1/8/2PPP3/8/PP3PPP/RNBQKBN1 w KQkq - 1 4
25401,r1bqkb1r/ppp1pppp/2np1n2/8/3P4/4PN2/PPP2PPP/RNBQKB2 w KQkq - 1 4
25402,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 2 4
25403,rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/6P1/PP2PP1P/1NBQKBNR w KQkq - 0 4
25404,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 2 4
25405,rnbqkb1r/ppp1pp1p/3p1np1/8/4P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 0 4
25406,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2N5/PPPPNPPP/2BQKB1R w KQkq - 0 4
25407,rnbqk2r/pppp1ppp/4pn2/6B1/1b1P4/5N2/PPP1PPPP/1N1QKB1R w KQkq - 2 4
25408,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/5N2/PPP2PPP/RNBQKB2 w KQkq - 1 4
25409,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/5P2/PPP3PP/1NBQKBNR w KQkq - 0 4
25410,r1bqkbnr/pp2pppp/2np4/2p5/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 0 4
25411,rnbqkbnr/pp3ppp/4p3/2pp4/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 0 4
25412,rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/5N2/PP2PPPP/RNBQKB2 w KQkq - 2 4
25413,rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/2N5/PPP2PPP/R1BQKBN1 w KQkq - 2 4
25414,rn1qkbnr/ppp1pppp/8/3pNb2/3P4/8/PPP1PPPP/RNBQKB2 w KQkq - 4 4
25415,rnbqk1nr/pp1pppbp/6p1/2p5/3PP3/4B3/PPP2PPP/1N1QKBNR w KQkq - 0 4
25416,r1bqkbnr/pp2pppp/2n5/2pp4/4P3/1P6/PBPP1PPP/RN1QKBN1 w KQkq - 0 4
25417,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N5/PPP2PPP/2BQKBNR w KQkq - 1 4
25418,rnbqkb1r/pp1p1ppp/2p1pn2/8/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 0 4
25419,r1bqkbnr/pp1p1ppp/2n5/2p1p3/2P5/1P3N2/P2PPPPP/RNBQKB2 w KQkq - 0 4
25420,rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBN1 w KQkq - 3 4
25421,rnbqkb1r/pp2pppp/2pp1n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB2 w KQkq - 2 4
25422,rnbqkb1r/pp1p1ppp/4pn2/2pP4/8/5N2/PPP1PPPP/1NBQKB1R w KQkq - 0 4
25423,rnbqkb1r/pp1ppp1p/5np1/2pP4/2P5/8/PP2PPPP/RNBQKBN1 w KQkq - 0 4
25424,rnbqkb1r/1ppp1ppp/p3pn2/8/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 0 4
25425,rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/5N2/PP2PPPP/RNBQKB2 w KQkq - 1 4
25426,rn1qkbnr/ppp1pp1p/6p1/3p1b2/3P4/4PN2/PPP2PPP/RNBQKB2 w KQkq - 1 4
25427,rnbqkb1r/pp1pp1pp/5n2/2pP1p2/8/5N2/PPP1PPPP/1NBQKB1R w KQkq - 2 4
25428,rnbqkbnr/p2p1ppp/1p2p3/2p5/4P3/3P1N2/PPP2PPP/1NBQKB1R w KQkq - 0 4
25429,rn1qkbnr/pp2pppp/2p5/3p4/6b1/3P2P1/PPP1PPBP/1NBQK1NR w KQkq - 1 4
25430,rnbqk1nr/pp1pppbp/6p1/2pP4/4P3/8/PPP2PPP/RNBQKBN1 w KQkq - 1 4
25431,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 0 4
25432,rn1qkb1r/ppp1pppp/3p1n2/5b2/2PP4/5N2/PP2PPPP/RNBQKB2 w KQkq - 2 4
25433,rn1qkb1r/pbpppppp/1p3n2/8/3P1B2/5N2/PPP1PPPP/1N1QKB1R w KQkq - 2 4
25434,rnbqkb1r/pppp2pp/4pn2/5p2/2PP2P1/8/PP2PP1P/RNBQKBN1 w KQkq - 1 4
25435,r1bqkbnr/pp1ppp1p/2n3p1/2p5/2B1P3/5N2/PPPP1PPP/1NBQK2R w KQkq - 0 4
25436,r1bqkbnr/pp1p1ppp/2n1p3/2p5/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 1 4
25437,rnbqkbnr/pp2pppp/8/2ppP3/3P4/8/PPP2PPP/1NBQKBNR w KQkq - 0 4
25438,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/4P3/PP3PPP/1NBQKBNR w KQkq - 0 4
25439,rnbqkbnr/pp1p2pp/4p3/2p2p2/3P4/6P1/PPP1PPBP/RNBQK1N1 w KQkq - 0 4
25440,rnbqkb1r/ppp1pp1p/5np1/3p4/8/4PN2/PPPPBPPP/1NBQK2R w KQkq - 2 4
25441,rn1qkb1r/pbpppppp/1p3n2/8/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 4 4
25442,r1bqkbnr/pppp1pp1/2n4p/4p3/4P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 0 4
25443,rnbqk1nr/ppp1ppbp/3p2p1/8/3P4/6P1/PPP1PPBP/1NBQK1NR w KQkq - 0 4
25444,rnbqkbnr/ppp1p1pp/5p2/8/1PPp4/5N2/P2PPPPP/1NBQKB1R w KQkq - 0 4
25445,rnbqkbnr/1p1p1ppp/p3p3/2p5/2P1P3/2N5/PP1P1PPP/2BQKBNR w KQkq - 0 4
25446,rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 0 4
25447,rn1qkbnr/pppb1ppp/4p3/3pP3/3P4/8/PPP2PPP/1NBQKBNR w KQkq - 1 4
25448,r1bqkb1r/pp1ppppp/2n2n2/1Bp5/4P3/5N2/PPPP1PPP/1NBQK2R w KQkq - 4 4
25449,rnbqkbnr/pp3ppp/2p1p3/3p4/3P1B2/5N2/PPP1PPPP/1N1QKB1R w KQkq - 0 4
25450,r1bqkb1r/ppp1pppp/2n2n2/3p4/2PP4/4P3/PP3PPP/RNBQKBN1 w KQkq - 1 4
25451,r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/3B4/PPP2PPP/1NBQK1NR w KQkq - 2 4
25452,rnbqk1nr/pppp1ppp/8/2bNp3/2P5/8/PP1PPPPP/2BQKBNR w KQkq - 4 4
25453,rnbqkbnr/pp2pp1p/3p2p1/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB2 w KQkq - 0 4
25454,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 1 4
25455,r1bqk1nr/pppp1ppp/2n5/2b1p3/2P5/2N1P3/PP1P1PPP/R1BQKBN1 w KQkq - 1 4
25456,rnbqkbnr/pp2pp1p/2p3p1/3p4/8/5NP1/PPPPPPBP/1NBQK2R w KQkq - 0 4
25457,r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/5P2/PPP3PP/1NBQKBNR w KQkq - 1 4
25458,rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/4P3/PP3PPP/RNBQKBN1 w KQkq - 1 4
25459,rnbqkbnr/pp3ppp/3pp3/2p5/2B1P3/2N5/PPPP1PPP/2BQK1NR w KQkq - 0 4
25460,r2qkbnr/ppp1pppp/2n5/3pPb2/3P4/8/PPP2PPP/1NBQKBNR w KQkq - 1 4
25461,r1bqkb1r/pppp1ppp/2n1pn2/8/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 2 4
25462,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBN1 w KQkq - 1 4
25463,r1bqkbnr/pp1p1ppp/2n1p3/2p5/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 0 4
25464,rn1qkbnr/p1pp1ppp/bp2p3/8/2PP4/P7/1P2PPPP/1NBQKBNR w KQkq - 1 4
25465,rnbqk1nr/ppp1ppbp/6p1/3p2B1/3P4/5N2/PPP1PPPP/1N1QKB1R w KQkq - 2 4
25466,rnbqkbnr/pp3ppp/2p1p3/3p4/3P4/6P1/PPP1PPBP/1NBQK1NR w KQkq - 0 4
25467,rnbqkb1r/p1p1pppp/1p3n2/3p4/3P4/4PN2/PPP2PPP/1NBQKB1R w KQkq - 0 4
25468,r1bqkb1r/pppp1ppp/2n1pn2/8/2PP4/4P3/PP3PPP/1NBQKBNR w KQkq - 1 4
25469,rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/2N3P1/PP1PPP1P/2BQKBNR w KQkq - 0 4
25470,rnbqkb1r/pppp2pp/4pn2/5p2/2P5/5NP1/PP1PPP1P/RNBQKB2 w KQkq - 1 4
25471,rnbqkb1r/ppp2ppp/3p1n2/4p3/2PP4/2N5/PP2PPPP/R1BQKBN1 w KQkq - 1 4
25472,rn1qkbnr/pp2pppp/2p5/3p4/4P1b1/2N2N2/PPPP1PPP/R1BQKB2 w KQkq - 2 4
25473,rnbqkbnr/ppp2p1p/3p2p1/4p3/2PPP3/8/PP3PPP/RNBQKBN1 w KQkq - 0 4
25474,rnbqk1nr/p1pp1ppp/1p2p3/8/1bPPP3/8/PP3PPP/RNBQKBN1 w KQkq - 1 4
25475,rnbqkbnr/pp3ppp/2p1p3/3pP3/3P4/8/PPP2PPP/1NBQKBNR w KQkq - 0 4
25476,rn1qkb1r/p1pppppp/bp3n2/8/3P1B2/5N2/PPP1PPPP/RN1QKB2 w KQkq - 2 4
25477,rnbqkb1r/pp1p1ppp/4pn2/2p5/4P3/1P3N2/P1PP1PPP/1NBQKB1R w KQkq - 1 4
25478,rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 2 4
25479,rnbqkb1r/pp1pp1pp/2p2n2/5p2/3P4/2N3P1/PPP1PP1P/2BQKBNR w KQkq - 2 4
25480,rn1qkb1r/ppp1pppp/5n2/3p4/6b1/5NP1/PPPPPPBP/1NBQK2R w KQkq - 3 4
25481,r1bqkbnr/ppppnppp/8/3Pp3/2P5/8/PP2PPPP/RNBQKBN1 w KQkq - 1 4
25482,rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/8/PPPN1PPP/2BQKBNR w KQkq - 0 4
25483,rnbqkbnr/pp3ppp/2p1p3/3p4/3PP3/2N5/PPP2PPP/2BQKBNR w KQkq - 0 4
25484,r1bqkbnr/pp1p1ppp/2n1p3/2p5/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 2 4
25485,rnbqk1nr/ppp1ppbp/3p2p1/8/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 0 4
25486,rnbqk1nr/pp1pppbp/6p1/2p5/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 2 4
25487,rnbqkbnr/1p1p1ppp/p3p3/2p5/4P3/5NP1/PPPP1P1P/1NBQKB1R w KQkq - 0 4
25488,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/1NBQK2R w KQkq - 4 4
25489,rnbqkb1r/ppp2ppp/3ppn2/8/4P3/2N2N2/PPPP1PPP/R1BQKB2 w KQkq - 0 4
25490,r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P5/2N3P1/PP1PPP1P/2BQKBNR w KQkq - 1 4
25491,rnbqkbnr/p2p1ppp/4p3/1pp5/3P4/5NP1/PPP1PP1P/1NBQKB1R w KQkq - 0 4
25492,r1bqkbnr/pppn1ppp/3p4/4p3/3P4/2N2N2/PPP1PPPP/2BQKB1R w KQkq - 1 4
25493,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/P7/1P2PPPP/1NBQKBNR w KQkq - 0 4
25494,rnbqkb1r/pppp1ppp/4p3/8/2PPn3/5N2/PP2PPPP/RNBQKB2 w KQkq - 1 4
25495,rnbqkbnr/p1pp2pp/1p2p3/5p2/2PP4/P7/1P2PPPP/RNBQKBN1 w KQkq - 0 4
25496,r1bqkbnr/pppn1ppp/3p4/4p3/8/1P2P3/PBPP1PPP/1N1QKBNR w KQkq - 1 4
25497,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/4P3/PP3PPP/1NBQKBNR w KQkq - 1 4
25498,rn1qkb1r/pbpppppp/1p3n2/8/2PP4/2N5/PP2PPPP/R1BQKBN1 w KQkq - 1 4
25499,rnbqkb1r/ppppp2p/5np1/5p2/3P4/2N2N2/PPP1PPPP/2BQKB1R w KQkq - 2 4
25500,r1bqkb1r/ppp1pppp/2n2n2/3p4/8/1P3N2/PBPPPPPP/1N1QKB1R w KQkq - 0 4
25501,rnbqk1nr/pp1p1ppp/4p3/2p5/1bPP4/8/PP1NPPPP/2BQKBNR w KQkq - 0 4
25502,rnbqk1nr/ppp1bppp/3p4/4p3/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 1 4
25503,r1bqkb1r/pppppp1p/2n2np1/8/2PP4/5P2/PP2P1PP/RNBQKBN1 w KQkq - 1 4
25504,rnbqkbnr/pp1p1ppp/2p5/8/2PPp3/4P3/PP3PPP/1NBQKBNR w KQkq - 0 4
25505,rnbqkbnr/ppp3pp/3p4/4pp2/2P5/2N1P3/PP1P1PPP/2BQKBNR w KQkq - 0 4
25506,r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBN1 w KQkq - 0 4
25507,rnbqkb1r/pp2pppp/2pp1n2/8/2P5/4PN2/PP1P1PPP/1NBQKB1R w KQkq - 0 4
25508,rnbqk2r/ppppppbp/5np1/8/3P4/6P1/PPP1PPBP/1NBQK1NR w KQkq - 2 4
25509,rnbqk1nr/pp1pppbp/6p1/2p5/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 1 4
